Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
16,12-Feb-14,-6.18,2.572,189.4642725,7.039,TRUE
17,12-Feb-14,-7.58,2.671,126.4962581,6.548,TRUE
18,12-Feb-14,-3.11,2.771,131.5866129,9.202,TRUE
19,12-Feb-14,-4.88,2.94,131.5866129,8.35,TRUE
20,12-Feb-14,-5.49,2.773,204.3857472,8.187,TRUE
21,12-Feb-14,3.21,2.548,210.8979935,8.324,TRUE
22,12-Feb-14,-2.14,2.771,135.4113076,8.283,TRUE
23,12-Feb-14,-7.36,2.771,131.5866129,5.892,TRUE
24,12-Feb-14,-3.37,2.94,131.5866129,8.326,TRUE
25,12-Feb-14,-6.87,2.773,204.3857472,8.187,TRUE
26,12-Feb-14,-7.7,2.771,131.5866129,8.488,TRUE
27,12-Feb-14,-1.22,2.94,135.4113076,8.237,TRUE
28,12-Feb-14,8.82,2.946,126.4962581,13.975,TRUE
29,12-Feb-14,-2.14,2.771,131.5866129,10.064,TRUE
30,12-Feb-14,3.21,2.548,210.8979935,8.324,TRUE
31,12-Feb-14,3.21,2.548,210.8979935,8.324,TRUE
32,12-Feb-14,-2.17,2.572,189.4642725,9.014,TRUE
33,12-Feb-14,13.04,2.828,126.4962581,10.115,TRUE
34,12-Feb-14,2.29,2.573,126.4962581,9.521,TRUE
35,12-Feb-14,-1.22,2.773,135.4113076,9.262,TRUE
36,12-Feb-14,7.84,2.539,209.9970208,8.554,TRUE
37,12-Feb-14,7.84,2.548,209.9970208,8.554,TRUE
38,12-Feb-14,8.82,2.946,126.4962581,13.975,TRUE
39,12-Feb-14,6.99,2.548,209.9970208,8.554,TRUE
40,12-Feb-14,-6.2,2.771,131.5866129,5.892,TRUE
41,12-Feb-14,-4.98,2.572,189.4642725,7.541,TRUE
42,12-Feb-14,9.98,2.828,126.4962581,9.765,TRUE
43,12-Feb-14,8.88,2.548,203.2010968,9.521,TRUE
44,12-Feb-14,0.64,2.671,126.4962581,8.119,TRUE
45,12-Feb-14,-2.37,2.773,181.982317,8.992,TRUE
1,19-Feb-14,4.41,2.514,211.2891429,8.106,FALSE
2,19-Feb-14,4.27,2.514,210.9451605,8.324,FALSE
3,19-Feb-14,8.37,2.514,214.6198868,7.368,FALSE
4,19-Feb-14,2.47,2.54,126.5262857,8.623,FALSE
5,19-Feb-14,5.08,2.514,211.8471283,6.566,FALSE
6,19-Feb-14,6.43,2.514,212.8161546,7.259,FALSE
7,19-Feb-14,-2.62,2.55,189.5340998,9.014,FALSE
8,19-Feb-14,3.94,2.514,214.6664878,6.299,FALSE
9,19-Feb-14,6.14,2.514,214.8506185,6.415,FALSE
10,19-Feb-14,14.57,2.915,126.5262857,9.765,FALSE
11,19-Feb-14,9.06,2.514,214.6198868,7.368,FALSE
12,19-Feb-14,12.68,2.915,126.5262857,13.975,FALSE
13,19-Feb-14,2.06,2.654,126.5262857,8.316,FALSE
14,19-Feb-14,-0.41,2.745,182.0347816,8.992,FALSE
15,19-Feb-14,-2.48,2.909,131.637,8.35,FALSE
16,19-Feb-14,-6.04,2.55,189.5340998,7.039,FALSE
17,19-Feb-14,-3.86,2.654,126.5262857,6.548,FALSE
18,19-Feb-14,-0.61,2.747,131.637,9.202,FALSE
19,19-Feb-14,-1.91,2.909,131.637,8.35,FALSE
20,19-Feb-14,-3.65,2.745,204.4321004,8.187,FALSE
21,19-Feb-14,4.31,2.514,210.9451605,8.324,FALSE
22,19-Feb-14,-0.02,2.747,135.4657781,8.283,FALSE
23,19-Feb-14,-2.94,2.747,131.637,5.892,FALSE
24,19-Feb-14,-0.53,2.909,131.637,8.326,FALSE
25,19-Feb-14,-4.36,2.745,204.4321004,8.187,FALSE
26,19-Feb-14,-5.21,2.747,131.637,8.488,FALSE
27,19-Feb-14,0.24,2.909,135.4657781,8.237,FALSE
28,19-Feb-14,12.68,2.915,126.5262857,13.975,FALSE
29,19-Feb-14,-0.02,2.747,131.637,10.064,FALSE
30,19-Feb-14,4.31,2.514,210.9451605,8.324,FALSE
31,19-Feb-14,4.31,2.514,210.9451605,8.324,FALSE
32,19-Feb-14,-1.58,2.55,189.5340998,9.014,FALSE
33,19-Feb-14,16.76,2.915,126.5262857,10.115,FALSE
34,19-Feb-14,3.53,2.54,126.5262857,9.521,FALSE
35,19-Feb-14,0.24,2.745,135.4657781,9.262,FALSE
36,19-Feb-14,7.59,2.472,210.0451024,8.554,FALSE
37,19-Feb-14,7.59,2.514,210.0451024,8.554,FALSE
38,19-Feb-14,12.68,2.915,126.5262857,13.975,FALSE
39,19-Feb-14,6.64,2.514,210.0451024,8.554,FALSE
40,19-Feb-14,-2.31,2.747,131.637,5.892,FALSE
41,19-Feb-14,-4.37,2.55,189.5340998,7.541,FALSE
42,19-Feb-14,14.57,2.915,126.5262857,9.765,FALSE
43,19-Feb-14,9.32,2.514,203.2479796,9.521,FALSE
44,19-Feb-14,2.06,2.654,126.5262857,8.119,FALSE
45,19-Feb-14,-0.41,2.745,182.0347816,8.992,FALSE
1,26-Feb-14,8.13,2.561,211.3196429,8.106,FALSE
2,26-Feb-14,7.83,2.561,210.9759573,8.324,FALSE
3,26-Feb-14,11.14,2.561,214.6475127,7.368,FALSE
4,26-Feb-14,5.2,2.59,126.5522857,8.623,FALSE
5,26-Feb-14,8.17,2.561,211.8771468,6.566,FALSE
6,26-Feb-14,8.39,2.561,212.845337,7.259,FALSE
7,26-Feb-14,-3.94,2.586,189.6018023,9.014,FALSE
8,26-Feb-14,3.28,2.561,214.6940735,6.299,FALSE
9,26-Feb-14,6.57,2.561,214.8780453,6.415,FALSE
10,26-Feb-14,11.54,2.825,126.5522857,9.765,FALSE
11,26-Feb-14,11.55,2.561,214.6475127,7.368,FALSE
12,26-Feb-14,10.13,2.825,126.5522857,13.975,FALSE
13,26-Feb-14,-1.12,2.667,126.5522857,8.316,FALSE
14,26-Feb-14,1.61,2.754,182.0774691,8.992,FALSE
15,26-Feb-14,-1.18,2.91,131.686,8.35,FALSE
16,26-Feb-14,-7.71,2.586,189.6018023,7.039,FALSE
17,26-Feb-14,-9.09,2.667,126.5522857,6.548,FALSE
18,26-Feb-14,1.9,2.753,131.686,9.202,FALSE
19,26-Feb-14,-0.93,2.91,131.686,8.35,FALSE
20,26-Feb-14,0.18,2.754,204.4630869,8.187,FALSE
21,26-Feb-14,7.39,2.561,210.9759573,8.324,FALSE
22,26-Feb-14,2.21,2.753,135.5195191,8.283,FALSE
23,26-Feb-14,0.38,2.753,131.686,5.892,FALSE
24,26-Feb-14,1.1,2.91,131.686,8.326,FALSE
25,26-Feb-14,-1.58,2.754,204.4630869,8.187,FALSE
26,26-Feb-14,-2.6,2.753,131.686,8.488,FALSE
27,26-Feb-14,2.22,2.91,135.5195191,8.237,FALSE
28,26-Feb-14,10.13,2.825,126.5522857,13.975,FALSE
29,26-Feb-14,2.21,2.753,131.686,10.064,FALSE
30,26-Feb-14,7.39,2.561,210.9759573,8.324,FALSE
31,26-Feb-14,7.39,2.561,210.9759573,8.324,FALSE
32,26-Feb-14,-2.98,2.586,189.6018023,9.014,FALSE
33,26-Feb-14,13.61,2.825,126.5522857,10.115,FALSE
34,26-Feb-14,2.93,2.59,126.5522857,9.521,FALSE
35,26-Feb-14,2.22,2.754,135.5195191,9.262,FALSE
36,26-Feb-14,10.48,2.52,210.0771885,8.554,FALSE
37,26-Feb-14,10.48,2.561,210.0771885,8.554,FALSE
38,26-Feb-14,10.13,2.825,126.5522857,13.975,FALSE
39,26-Feb-14,9.88,2.561,210.0771885,8.554,FALSE
40,26-Feb-14,0.73,2.753,131.686,5.892,FALSE
41,26-Feb-14,-5.64,2.586,189.6018023,7.541,FALSE
42,26-Feb-14,11.54,2.825,126.5522857,9.765,FALSE
43,26-Feb-14,9.32,2.561,203.2798724,9.521,FALSE
44,26-Feb-14,-1.12,2.667,126.5522857,8.119,FALSE
45,26-Feb-14,1.61,2.754,182.0774691,8.992,FALSE
1,5-Mar-14,8.06,2.625,211.3501429,8.106,FALSE
2,5-Mar-14,8.43,2.625,211.0067542,8.324,FALSE
3,5-Mar-14,11.69,2.625,214.6751386,7.368,FALSE
4,5-Mar-14,6.38,2.654,126.5782857,8.623,FALSE
5,5-Mar-14,9.38,2.625,211.9071653,6.566,FALSE
6,5-Mar-14,9.79,2.625,212.8745193,7.259,FALSE
7,5-Mar-14,2.14,2.62,189.6695049,9.014,FALSE
8,5-Mar-14,7.58,2.625,214.7216592,6.299,FALSE
9,5-Mar-14,9.13,2.625,214.9054721,6.415,FALSE
10,5-Mar-14,13.29,2.877,126.5782857,9.765,FALSE
11,5-Mar-14,12.2,2.625,214.6751386,7.368,FALSE
12,5-Mar-14,12.09,2.987,126.5782857,13.975,FALSE
13,5-Mar-14,4.81,2.681,126.5782857,8.316,FALSE
14,5-Mar-14,2.85,2.777,182.1201566,8.992,FALSE
15,5-Mar-14,-0.12,2.919,131.735,8.35,FALSE
16,5-Mar-14,-2.27,2.62,189.6695049,7.039,FALSE
17,5-Mar-14,-0.23,2.681,126.5782857,6.548,FALSE
18,5-Mar-14,2.87,2.766,131.735,9.202,FALSE
19,5-Mar-14,0.51,2.919,131.735,8.35,FALSE
20,5-Mar-14,-0.14,2.777,204.4940734,8.187,FALSE
21,5-Mar-14,9.23,2.625,211.0067542,8.324,FALSE
22,5-Mar-14,2.68,2.766,135.5732602,8.283,FALSE
23,5-Mar-14,0.64,2.766,131.735,5.892,FALSE
24,5-Mar-14,2.63,2.919,131.735,8.326,FALSE
25,5-Mar-14,-1.42,2.777,204.4940734,8.187,FALSE
26,5-Mar-14,-1.89,2.766,131.735,8.488,FALSE
27,5-Mar-14,3.37,2.919,135.5732602,8.237,FALSE
28,5-Mar-14,12.09,2.987,126.5782857,13.975,FALSE
29,5-Mar-14,2.68,2.766,131.735,10.064,FALSE
30,5-Mar-14,9.23,2.625,211.0067542,8.324,FALSE
31,5-Mar-14,9.23,2.625,211.0067542,8.324,FALSE
32,5-Mar-14,3.18,2.62,189.6695049,9.014,FALSE
33,5-Mar-14,15.09,2.877,126.5782857,10.115,FALSE
34,5-Mar-14,5.92,2.654,126.5782857,9.521,FALSE
35,5-Mar-14,3.37,2.777,135.5732602,9.262,FALSE
36,5-Mar-14,10.74,2.574,210.1092746,8.554,FALSE
37,5-Mar-14,10.74,2.625,210.1092746,8.554,FALSE
38,5-Mar-14,12.09,2.987,126.5782857,13.975,FALSE
39,5-Mar-14,10.52,2.625,210.1092746,8.554,FALSE
40,5-Mar-14,1.54,2.766,131.735,5.892,FALSE
41,5-Mar-14,0.27,2.62,189.6695049,7.541,FALSE
42,5-Mar-14,13.29,2.877,126.5782857,9.765,FALSE
43,5-Mar-14,11.61,2.625,203.3117653,9.521,FALSE
44,5-Mar-14,4.81,2.681,126.5782857,8.119,FALSE
45,5-Mar-14,2.85,2.777,182.1201566,8.992,FALSE
1,12-Mar-14,14.33,2.667,211.3806429,8.106,FALSE
2,12-Mar-14,14.2,2.667,211.037551,8.324,FALSE
3,12-Mar-14,17.27,2.667,214.7027646,7.368,FALSE
4,12-Mar-14,9.79,2.704,126.6042857,8.623,FALSE
5,12-Mar-14,14.72,2.667,211.9371839,6.566,FALSE
6,12-Mar-14,14.9,2.667,212.9037017,7.259,FALSE
7,12-Mar-14,-2.64,2.684,189.7372075,9.014,FALSE
8,12-Mar-14,9.87,2.667,214.7492449,6.299,FALSE
9,12-Mar-14,13.2,2.667,214.932899,6.415,FALSE
10,12-Mar-14,11.29,3.034,126.6042857,9.765,FALSE
11,12-Mar-14,17.83,2.667,214.7027646,7.368,FALSE
12,12-Mar-14,10.06,2.925,126.6042857,13.975,FALSE
13,12-Mar-14,3.12,2.733,126.6042857,8.316,FALSE
14,12-Mar-14,7.67,2.818,182.1628441,8.992,FALSE
15,12-Mar-14,5.22,2.938,131.784,8.35,FALSE
16,12-Mar-14,-1.87,2.684,189.7372075,7.039,FALSE
17,12-Mar-14,-1.27,2.733,126.6042857,6.548,FALSE
18,12-Mar-14,5.77,2.805,131.784,9.202,FALSE
19,12-Mar-14,3.92,2.938,131.784,8.35,FALSE
20,12-Mar-14,6.57,2.818,204.5250598,8.187,FALSE
21,12-Mar-14,13.94,2.667,211.037551,8.324,FALSE
22,12-Mar-14,6.35,2.805,135.6270013,8.283,FALSE
23,12-Mar-14,2.26,2.805,131.784,5.892,FALSE
24,12-Mar-14,5.73,2.938,131.784,8.326,FALSE
25,12-Mar-14,4.47,2.818,204.5250598,8.187,FALSE
26,12-Mar-14,-0.5,2.805,131.784,8.488,FALSE
27,12-Mar-14,7.77,2.938,135.6270013,8.237,FALSE
28,12-Mar-14,10.06,2.925,126.6042857,13.975,FALSE
29,12-Mar-14,6.35,2.805,131.784,10.064,FALSE
30,12-Mar-14,13.94,2.667,211.037551,8.324,FALSE
31,12-Mar-14,13.94,2.667,211.037551,8.324,FALSE
32,12-Mar-14,4.38,2.684,189.7372075,9.014,FALSE
33,12-Mar-14,13.12,3.034,126.6042857,10.115,FALSE
34,12-Mar-14,5.7,2.704,126.6042857,9.521,FALSE
35,12-Mar-14,7.77,2.818,135.6270013,9.262,FALSE
36,12-Mar-14,16.64,2.619,210.1413607,8.554,FALSE
37,12-Mar-14,16.64,2.667,210.1413607,8.554,FALSE
38,12-Mar-14,10.06,2.925,126.6042857,13.975,FALSE
39,12-Mar-14,16.6,2.667,210.1413607,8.554,FALSE
40,12-Mar-14,1.72,2.805,131.784,5.892,FALSE
41,12-Mar-14,0.78,2.684,189.7372075,7.541,FALSE
42,12-Mar-14,11.29,3.034,126.6042857,9.765,FALSE
43,12-Mar-14,12.04,2.667,203.3436582,9.521,FALSE
44,12-Mar-14,3.12,2.733,126.6042857,8.119,FALSE
45,12-Mar-14,7.67,2.818,182.1628441,8.992,FALSE
1,19-Mar-14,12.54,2.72,211.215635,8.106,FALSE
2,19-Mar-14,12.51,2.72,210.8733316,8.324,FALSE
3,19-Mar-14,15.79,2.72,214.5301219,7.368,FALSE
4,19-Mar-14,12.88,2.743,126.6066452,8.623,FALSE
5,19-Mar-14,13.03,2.72,211.770897,6.566,FALSE
6,19-Mar-14,13.64,2.72,212.7351935,7.259,FALSE
7,19-Mar-14,-1.64,2.692,189.734262,9.014,FALSE
8,19-Mar-14,8.48,2.72,214.5764954,6.299,FALSE
9,19-Mar-14,11.75,2.72,214.7597274,6.415,FALSE
10,19-Mar-14,16.37,3.054,126.6066452,9.765,FALSE
11,19-Mar-14,16.39,2.72,214.5301219,7.368,FALSE
12,19-Mar-14,15.32,3.054,126.6066452,13.975,FALSE
13,19-Mar-14,5.83,2.782,126.6066452,8.316,FALSE
14,19-Mar-14,9.33,2.844,182.0779857,8.992,FALSE
15,19-Mar-14,7.05,2.96,131.8242903,8.35,FALSE
16,19-Mar-14,0.81,2.692,189.734262,7.039,FALSE
17,19-Mar-14,1.09,2.782,126.6066452,6.548,FALSE
18,19-Mar-14,7.46,2.834,131.8242903,9.202,FALSE
19,19-Mar-14,6.52,2.96,131.8242903,8.35,FALSE
20,19-Mar-14,8.51,2.844,204.3782258,8.187,FALSE
21,19-Mar-14,12.6,2.72,210.8733316,8.324,FALSE
22,19-Mar-14,7.79,2.834,135.6682247,8.283,FALSE
23,19-Mar-14,6.12,2.834,131.8242903,5.892,FALSE
24,19-Mar-14,7.83,2.96,131.8242903,8.326,FALSE
25,19-Mar-14,7.22,2.844,204.3782258,8.187,FALSE
26,19-Mar-14,1.86,2.834,131.8242903,8.488,FALSE
27,19-Mar-14,9.47,2.96,135.6682247,8.237,FALSE
28,19-Mar-14,15.32,3.054,126.6066452,13.975,FALSE
29,19-Mar-14,7.79,2.834,131.8242903,10.064,FALSE
30,19-Mar-14,12.6,2.72,210.8733316,8.324,FALSE
31,19-Mar-14,12.6,2.72,210.8733316,8.324,FALSE
32,19-Mar-14,5.79,2.692,189.734262,9.014,FALSE
33,19-Mar-14,18.11,3.054,126.6066452,10.115,FALSE
34,19-Mar-14,7.7,2.743,126.6066452,9.521,FALSE
35,19-Mar-14,9.47,2.844,135.6682247,9.262,FALSE
36,19-Mar-14,15.31,2.701,209.9803208,8.554,FALSE
37,19-Mar-14,15.31,2.72,209.9803208,8.554,FALSE
38,19-Mar-14,15.32,3.054,126.6066452,13.975,FALSE
39,19-Mar-14,14.79,2.72,209.9803208,8.554,FALSE
40,19-Mar-14,4.74,2.834,131.8242903,5.892,FALSE
41,19-Mar-14,2.61,2.692,189.734262,7.541,FALSE
42,19-Mar-14,16.37,3.054,126.6066452,9.765,FALSE
43,19-Mar-14,13.33,2.72,203.195159,9.521,FALSE
44,19-Mar-14,5.83,2.782,126.6066452,8.119,FALSE
45,19-Mar-14,9.33,2.844,182.0779857,8.992,FALSE
1,26-Mar-14,10.81,2.732,211.0180424,8.106,FALSE
2,26-Mar-14,10.7,2.732,210.6766095,8.324,FALSE
3,26-Mar-14,13.92,2.732,214.3241011,7.368,FALSE
4,26-Mar-14,4.39,2.752,126.6050645,8.623,FALSE
5,26-Mar-14,11.37,2.732,211.5718925,6.566,FALSE
6,26-Mar-14,12.08,2.732,212.533737,7.259,FALSE
7,26-Mar-14,-4.82,2.717,189.7195417,9.014,FALSE
8,26-Mar-14,8.06,2.732,214.3703567,6.299,FALSE
9,26-Mar-14,11,2.732,214.5531227,6.415,FALSE
10,26-Mar-14,15.58,2.98,126.6050645,9.765,FALSE
11,26-Mar-14,14.49,2.732,214.3241011,7.368,FALSE
12,26-Mar-14,15.59,3.083,126.6050645,13.975,FALSE
13,26-Mar-14,5.27,2.819,126.6050645,8.316,FALSE
14,26-Mar-14,12.42,2.854,181.9718697,8.992,FALSE
15,26-Mar-14,4.18,2.963,131.863129,8.35,FALSE
16,26-Mar-14,-1.18,2.717,189.7195417,7.039,FALSE
17,26-Mar-14,1.99,2.819,126.6050645,6.548,FALSE
18,26-Mar-14,8.64,2.831,131.863129,9.202,FALSE
19,26-Mar-14,3.93,2.963,131.863129,8.35,FALSE
20,26-Mar-14,10.27,2.854,204.201755,8.187,FALSE
21,26-Mar-14,10.92,2.732,210.6766095,8.324,FALSE
22,26-Mar-14,9.2,2.831,135.7073618,8.283,FALSE
23,26-Mar-14,3.66,2.831,131.863129,5.892,FALSE
24,26-Mar-14,9.37,2.963,131.863129,8.326,FALSE
25,26-Mar-14,7.69,2.854,204.201755,8.187,FALSE
26,26-Mar-14,1.81,2.831,131.863129,8.488,FALSE
27,26-Mar-14,11.3,2.963,135.7073618,8.237,FALSE
28,26-Mar-14,15.59,3.083,126.6050645,13.975,FALSE
29,26-Mar-14,9.2,2.831,131.863129,10.064,FALSE
30,26-Mar-14,10.92,2.732,210.6766095,8.324,FALSE
31,26-Mar-14,10.92,2.732,210.6766095,8.324,FALSE
32,26-Mar-14,2.55,2.717,189.7195417,9.014,FALSE
33,26-Mar-14,17.83,2.98,126.6050645,10.115,FALSE
34,26-Mar-14,6.06,2.752,126.6050645,9.521,FALSE
35,26-Mar-14,11.3,2.854,135.7073618,9.262,FALSE
36,26-Mar-14,13.2,2.711,209.7870932,8.554,FALSE
37,26-Mar-14,13.2,2.732,209.7870932,8.554,FALSE
38,26-Mar-14,15.59,3.083,126.6050645,13.975,FALSE
39,26-Mar-14,12.68,2.732,209.7870932,8.554,FALSE
40,26-Mar-14,4.17,2.831,131.863129,5.892,FALSE
41,26-Mar-14,0.17,2.717,189.7195417,7.541,FALSE
42,26-Mar-14,15.58,2.98,126.6050645,9.765,FALSE
43,26-Mar-14,12.52,2.732,203.0165945,9.521,FALSE
44,26-Mar-14,5.27,2.819,126.6050645,8.119,FALSE
45,26-Mar-14,12.42,2.854,181.9718697,8.992,FALSE
1,2-Apr-14,16.82,2.719,210.8204499,7.808,FALSE
2,2-Apr-14,17.37,2.719,210.4798874,8.2,FALSE
3,2-Apr-14,18.64,2.719,214.1180803,7.343,FALSE
4,2-Apr-14,9.32,2.74,126.6034839,7.896,FALSE
5,2-Apr-14,17.32,2.719,211.372888,6.465,FALSE
6,2-Apr-14,18.3,2.719,212.3322805,7.092,FALSE
7,2-Apr-14,3.48,2.725,189.7048215,8.963,FALSE
8,2-Apr-14,15.66,2.719,214.164218,6.29,FALSE
9,2-Apr-14,18.45,2.719,214.3465181,6.384,FALSE
10,2-Apr-14,17.59,3.086,126.6034839,9.524,FALSE
11,2-Apr-14,18.98,2.719,214.1180803,7.343,FALSE
12,2-Apr-14,15.47,3.086,126.6034839,14.099,FALSE
13,2-Apr-14,5.64,2.842,126.6034839,8.107,FALSE
14,2-Apr-14,8.74,2.85,181.8657537,8.899,FALSE
15,2-Apr-14,7.37,2.957,131.9019677,8.185,FALSE
16,2-Apr-14,2.33,2.725,189.7048215,6.842,FALSE
17,2-Apr-14,2.74,2.842,126.6034839,6.635,FALSE
18,2-Apr-14,7.57,2.826,131.9019677,9.269,FALSE
19,2-Apr-14,7.37,2.957,131.9019677,8.185,FALSE
20,2-Apr-14,10.56,2.85,204.0252842,7.856,FALSE
21,2-Apr-14,17.84,2.719,210.4798874,8.2,FALSE
22,2-Apr-14,7.2,2.826,135.7464988,8.348,FALSE
23,2-Apr-14,4.72,2.826,131.9019677,5.435,FALSE
24,2-Apr-14,7.34,2.957,131.9019677,8.211,FALSE
25,2-Apr-14,8.44,2.85,204.0252842,7.856,FALSE
26,2-Apr-14,2.52,2.826,131.9019677,8.512,FALSE
27,2-Apr-14,8.28,2.957,135.7464988,8.058,FALSE
28,2-Apr-14,15.47,3.086,126.6034839,14.099,FALSE
29,2-Apr-14,7.2,2.826,131.9019677,10.16,FALSE
30,2-Apr-14,17.84,2.719,210.4798874,8.2,FALSE
31,2-Apr-14,17.84,2.719,210.4798874,8.2,FALSE
32,2-Apr-14,9.04,2.725,189.7048215,8.963,FALSE
33,2-Apr-14,19.33,3.086,126.6034839,9.849,FALSE
34,2-Apr-14,10.04,2.74,126.6034839,9.593,FALSE
35,2-Apr-14,8.28,2.85,135.7464988,9.051,FALSE
36,2-Apr-14,17.46,2.708,209.5938656,8.464,FALSE
37,2-Apr-14,17.46,2.719,209.5938656,8.464,FALSE
38,2-Apr-14,15.47,3.086,126.6034839,14.099,FALSE
39,2-Apr-14,17.39,2.719,209.5938656,8.464,FALSE
40,2-Apr-14,5.22,2.826,131.9019677,5.435,FALSE
41,2-Apr-14,5.17,2.725,189.7048215,7.363,FALSE
42,2-Apr-14,17.59,3.086,126.6034839,9.524,FALSE
43,2-Apr-14,16.77,2.719,202.83803,9.593,FALSE
44,2-Apr-14,5.64,2.842,126.6034839,7.972,FALSE
45,2-Apr-14,8.74,2.85,181.8657537,8.899,FALSE
1,9-Apr-14,18.81,2.77,210.6228574,7.808,FALSE
2,9-Apr-14,18.56,2.77,210.2831653,8.2,FALSE
3,9-Apr-14,20,2.77,213.9120595,7.343,FALSE
4,9-Apr-14,12.31,2.773,126.6019032,7.896,FALSE
5,9-Apr-14,18.44,2.77,211.1738835,6.465,FALSE
6,9-Apr-14,18.97,2.77,212.1308239,7.092,FALSE
7,9-Apr-14,0.99,2.75,189.6901012,8.963,FALSE
8,9-Apr-14,15.14,2.77,213.9580793,6.29,FALSE
9,9-Apr-14,18.31,2.77,214.1399135,6.384,FALSE
10,9-Apr-14,18.49,3.004,126.6019032,9.524,FALSE
11,9-Apr-14,20.87,2.77,213.9120595,7.343,FALSE
12,9-Apr-14,15.14,3.09,126.6019032,14.099,FALSE
13,9-Apr-14,3.87,2.877,126.6019032,8.107,FALSE
14,9-Apr-14,18.58,2.869,181.7596377,8.899,FALSE
15,9-Apr-14,14.32,2.992,131.9408065,8.185,FALSE
16,9-Apr-14,1.23,2.75,189.6901012,6.842,FALSE
17,9-Apr-14,1.14,2.877,126.6019032,6.635,FALSE
